code_fap_341,intitule_fap_341,code_fap_228,intitule_fap_228,code_fap_86,intitule_fap_86,code_fap_22,intitule_fap_22
V3X70b,Techniciens en imagerie médicale,V3X70,Techniciens médicaux et préparateurs,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X70c,Préparation en pharmacie,V3X70,Techniciens médicaux et préparateurs,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X71a,"Prothèses, orthèses et audioprothèses",V3X71,Spécialistes de l'appareillage médical,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X71b,Optique – lunetterie,V3X71,Spécialistes de l'appareillage médical,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X71c,Prothèses dentaires,V3X71,Spécialistes de l'appareillage médical,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X80a,Diététique,V3X80,Autres professionnels para-médicaux,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X80b,Ergothérapeute,V3X80,Autres professionnels para-médicaux,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X80c,masseurs-kinésithérapeuthes,V3X80,Autres professionnels para-médicaux,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X80d,Orthophonistes et spécialistes de l'orthoptique,V3X80,Autres professionnels para-médicaux,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X80f,Ostéopathie et chiropraxie,V3X80,Autres professionnels para-médicaux,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X80g,Pédicurie et podologie,V3X80,Autres professionnels para-médicaux,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X80h,Psychomotricien,V3X80,Autres professionnels para-médicaux,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V3X90,"Psychologues, psychothérapeutes",V3X90,"Psychologues, psychothérapeutes",V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
V4X80,Professionnels de l’orientation et de l’insertion professionnelle,V4X80,Professionnels de l’orientation et de l’insertion professionnelle,V4X,Professionnels de l'action sociale et de l'orientation,V,"Santé, action sociale, culturelle et sportive"
V4X83a,Éducateurs de jeunes enfants,V4X83,Educateurs spécialisés et autres intervenants socio-éducatifs,V4X,Professionnels de l'action sociale et de l'orientation,V,"Santé, action sociale, culturelle et sportive"
V4X83b,"Éducateurs techniques spécialisés, moniteurs d’ateliers",V4X83,Educateurs spécialisés et autres intervenants socio-éducatifs,V4X,Professionnels de l'action sociale et de l'orientation,V,"Santé, action sociale, culturelle et sportive"
V4X84,Aides médico-psychologiques,V4X84,Aides médico-psychologiques,V4X,Professionnels de l'action sociale et de l'orientation,V,"Santé, action sociale, culturelle et sportive"
V4X85a,Agents de médiation conjugale et familiale et aide aux bénéficiaires d'une mesure de protection juridique,V4X85,Professionnels de l'action sociale,V4X,Professionnels de l'action sociale et de l'orientation,V,"Santé, action sociale, culturelle et sportive"
V4X85c,action et médiation sociale,V4X85,Professionnels de l'action sociale,V4X,Professionnels de l'action sociale et de l'orientation,V,"Santé, action sociale, culturelle et sportive"
V4X85d,Accueillants et médiateurs sociaux,V4X85,Professionnels de l'action sociale,V4X,Professionnels de l'action sociale et de l'orientation,V,"Santé, action sociale, culturelle et sportive"
V5X81,Professionnels de l'animation socioculturelle,V5X81,Professionnels de l'animation socioculturelle,V5X,"Professionnels de l'action culturelle, sportive et surveillants",V,"Santé, action sociale, culturelle et sportive"
V5X82,Sportifs et animateurs sportifs,V5X82,Sportifs et animateurs sportifs,V5X,"Professionnels de l'action culturelle, sportive et surveillants",V,"Santé, action sociale, culturelle et sportive"
V5X84a,Surveillants d'établissements scolaires,V5X84,Surveillants d'établissements scolaires et accompagnateurs des élèves en situation de handicap,V5X,"Professionnels de l'action culturelle, sportive et surveillants",V,"Santé, action sociale, culturelle et sportive"
V5X84b,Accompagnateurs des élèves en situation de handicap,V5X84,Surveillants d'établissements scolaires et accompagnateurs des élèves en situation de handicap,V5X,"Professionnels de l'action culturelle, sportive et surveillants",V,"Santé, action sociale, culturelle et sportive"
W0X80,Professeurs des écoles,W0X80,Professeurs des écoles,W0X,Enseignants,W,"Enseignement, formation"
W0X90,Professeurs du secondaire,W0X90,Professeurs du secondaire,W0X,Enseignants,W,"Enseignement, formation"
W0X91,Directeurs d’établissements du secondaire ou du supérieur et inspecteurs,W0X91,Directeurs d’établissements du secondaire ou du supérieur et inspecteurs,W0X,Enseignants,W,"Enseignement, formation"
W0X92,Professeurs du supérieur,W0X92,Professeurs du supérieur,W0X,Enseignants,W,"Enseignement, formation"
W1X80a,Formateurs en conduite,W1X80,Formateurs,W1X,Formateurs,W,"Enseignement, formation"
W1X80b,Formateurs professionnels,W1X80,Formateurs,W1X,Formateurs,W,"Enseignement, formation"
X0X00,Professionnels de la politique,X0X00,Professionnels de la politique,X0X,Professionnels de la politique et clergé,X,"Politique, religion"
X0X01,Clergé,X0X01,Clergé,X0X,Professionnels de la politique et clergé,X,"Politique, religion"
